model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
bagging_sgd,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.10886478424072266,0.5428225205070842
calibrated_rf,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.9700841903686523,0.5301640566741238
calibrated_svm,tfidf_trigram,0.5563380281690141,0.6415201736736207,0.5563380281690141,0.44924287040456773,0.5348993288590604,0.1430638863287274,0.017583847045898438,0.5398086005468556
ovr_nb,tfidf_trigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.010399818420410156,0.5337745463584389
ovr_svm,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.013345956802368164,0.5323514789957743
feature_selection_lr,tfidf_trigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.015942811965942383,0.5394668158090977
feature_selection_rf,tfidf_trigram,0.5545774647887324,0.6523209358874458,0.5545774647887324,0.4414863782331925,0.5326994780014914,0.14377813299686729,0.4659767150878906,0.5398210290827741
stress_focused_ensemble,tfidf_trigram,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.1080319881439209,0.533749689286602
XGBoost,tfidf_trigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.03721022605895996,0.512670892368879
LightGBM,tfidf_trigram,0.48063380281690143,0.5355086105401492,0.48063380281690143,0.3378605643878156,0.50381556052697,0.02236547349192252,0.061012983322143555,0.507394978871489
CatBoost,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.20044708251953125,0.5419338801889136
LogisticRegression,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.025052309036254883,0.5250062142679592
LogisticRegression_L1,bow_binary,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.0866858959197998,0.512670892368879
RidgeClassifier,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.012665271759033203,0.5170146656723839
SGDClassifier,bow_binary,0.4753521126760563,0.22595963102559014,0.4753521126760563,0.30631281723755416,0.5,0.0,0.020814180374145508,0.5
MultinomialNB,bow_binary,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.009959936141967773,0.5180524484215759
ComplementNB,bow_binary,0.5369718309859155,0.6677319507053747,0.5369718309859155,0.39371457146031164,0.5133109619686801,0.09647293964897795,0.010001897811889648,0.5180524484215759
BernoulliNB,bow_binary,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.010289907455444336,0.5180027342779022
RandomForest,bow_binary,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.20104598999023438,0.5280698483718618
ExtraTrees,bow_binary,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.18047118186950684,0.5265722097936864
GradientBoosting,bow_binary,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.09224319458007812,0.5232724335073328
LinearSVC,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.011657238006591797,0.5170146656723839
KNN,bow_binary,0.5352112676056338,0.5641133043614849,0.5352112676056338,0.4160118606375093,0.5131991051454139,0.058940353073498236,0.05036783218383789,0.5167163808103407
linear_stacking,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.029053211212158203,0.5170146656723839
ada_boost_tree,bow_binary,0.528169014084507,0.7515801522918429,0.528169014084507,0.36890035748258615,0.5037037037037037,0.0624500847660933,0.014080047607421875,0.5037037037037038
ada_boost_simple,bow_binary,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.0632941722869873,0.5037037037037038
gradient_boost_custom,bow_binary,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.11910390853881836,0.512670892368879
weighted_ensemble,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.16614985466003418,0.5249627143922445
bagging_lr,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.08445382118225098,0.5248632861048967
bagging_sgd,bow_binary,0.5352112676056338,0.6941838531187123,0.5352112676056338,0.38715636374973694,0.5112851106139696,0.0956504071638544,0.08342289924621582,0.5185371613223962
calibrated_rf,bow_binary,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.39943599700927734,0.5282189908028835
calibrated_svm,bow_binary,0.5352112676056338,0.6941838531187123,0.5352112676056338,0.38715636374973694,0.5112851106139696,0.0956504071638544,0.017229080200195312,0.5184812329107631
ovr_nb,bow_binary,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.010090827941894531,0.5180524484215759
ovr_svm,bow_binary,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.01127481460571289,0.5186925180213771
feature_selection_lr,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.014938116073608398,0.5250062142679592
feature_selection_rf,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.18992185592651367,0.5249627143922445
stress_focused_ensemble,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.12043905258178711,0.5249378573204075
XGBoost,bow_binary,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.023054838180541992,0.512670892368879
LightGBM,bow_binary,0.48063380281690143,0.5355086105401492,0.48063380281690143,0.3378605643878156,0.50381556052697,0.02236547349192252,0.023411989212036133,0.507394978871489
CatBoost,bow_binary,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.14337587356567383,0.5249999999999999
LogisticRegression,bow_freq,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.0255281925201416,0.5394668158090977
LogisticRegression_L1,bow_freq,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.09177494049072266,0.512670892368879
RidgeClassifier,bow_freq,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.013774871826171875,0.5332214765100671
SGDClassifier,bow_freq,0.477112676056338,0.5123265297678021,0.477112676056338,0.32501387682996824,0.5008078548347005,0.005855033685512201,0.02096390724182129,0.5008078548347005
MultinomialNB,bow_freq,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.01141810417175293,0.5337745463584389
ComplementNB,bow_freq,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.011394977569580078,0.5338056176982351
